,pay kodu,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
29,ECILC,ECZACIBASI ILAC,XU100,XU100,XU100,XU100,XU100
30,EGEEN,EGE ENDUSTRI,XU100,XU100,XU100,XU100,XU100
31,EGGUB,EGE GUBRE,XU100,XU100,XU100,XU100,
32,EKGYO,EMLAK KONUT GMYO,XU100,XU100,XU100,XU100,XU100
33,ENJSA,ENERJISA ENERJI,XU100,XU100,XU100,XU100,XU100
34,ENKAI,ENKA INSAAT,XU100,,,XU100,XU100
35,EREGL,EREGLI DEMIR CELIK,XU100,XU100,XU100,XU100,XU100
36,FROTO,FORD OTOSAN,XU100,XU100,XU100,XU100,XU100
37,GARAN,GARANTI BANKASI,XU100,XU100,XU100,XU100,XU100
38,GOODY,GOOD-YEAR,XU100,XU100,XU100,,
39,GOZDE,GOZDE GIRISIM,XU100,XU100,XU100,XU100,XU100
40,GSDHO,GSD HOLDING,XU100,XU100,XU100,,
41,GUBRF,GUBRE FABRIK.,XU100,XU100,XU100,XU100,XU100
42,HLGYO,HALK GMYO,XU100,XU100,XU100,,XU100
43,HEKTS,HEKTAS,XU100,XU100,XU100,XU100,XU100
44,IHLGM,IHLAS GAYRIMENKUL,XU100,XU100,XU100,XU100,
45,INDES,INDEKS BILGISAYAR,XU100,XU100,XU100,XU100,XU100
46,IPEKE,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100,
47,ISCTR,IS BANKASI (C),XU100,XU100,XU100,XU100,XU100
48,ISDMR,ISKENDERUN DEMIR CELIK,XU100,,,,XU100
49,ISFIN,IS FIN.KIR.,XU100,XU100,XU100,XU100,XU100
50,ISGYO,IS GMYO,XU100,XU100,XU100,XU100,XU100
51,ISMEN,IS Y. MEN. DEG.,XU100,XU100,XU100,XU100,XU100
52,KRDMD,KARDEMIR (D),XU100,XU100,XU100,XU100,XU100
53,KARSN,KARSAN OTOMOTIV,XU100,XU100,XU100,XU100,XU100
54,KARTN,KARTONSAN,XU100,XU100,XU100,XU100,XU100
55,KERVT,KEREVITAS GIDA,XU100,XU100,XU100,XU100,XU100
56,KCHOL,KOC HOLDING,XU100,XU100,XU100,XU100,XU100
57,KONYA,KONYA CIMENTO,XU100,XU100,XU100,XU100,
58,KORDS,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100,XU100
59,KOZAL,KOZA ALTIN,XU100,XU100,XU100,XU100,XU100
60,KOZAA,KOZA MADENCILIK,XU100,XU100,XU100,XU100,XU100
61,LOGO,LOGO YAZILIM,XU100,,,XU100,XU100
62,MAVI,MAVI GIYIM,XU100,XU100,XU100,,XU100
63,MPARK,MLP SAGLIK,XU100,XU100,XU100,XU100,XU100
64,MGROS,MIGROS TICARET,XU100,XU100,XU100,XU100,XU100
65,NTHOL,NET HOLDING,XU100,XU100,XU100,XU100,
66,NETAS,NETAS TELEKOM.,XU100,XU100,XU100,XU100,XU100
67,ODAS,ODAS ELEKTRIK,XU100,XU100,XU100,XU100,XU100
68,OTKAR,OTOKAR,XU100,XU100,XU100,XU100,XU100
69,OYAKC,OYAK CIMENTO,XU100,XU100,XU100,XU100,XU100
70,OZKGY,OZAK GMYO,XU100,,,,
71,PGSUS,PEGASUS,XU100,XU100,XU100,XU100,XU100
72,PETKM,PETKIM,XU100,XU100,XU100,XU100,XU100
73,PNSUT,PINAR SUT,XU100,,,,
74,SAHOL,SABANCI HOLDING,XU100,XU100,XU100,XU100,XU100
75,SASA,SASA POLYESTER,XU100,XU100,XU100,XU100,XU100
76,SELEC,SELCUK ECZA DEPOSU,XU100,XU100,XU100,XU100,XU100
77,SOKM,SOK MARKETLER TICARET,XU100,XU100,XU100,XU100,XU100
78,SKBNK,SEKERBANK,XU100,XU100,XU100,XU100,XU100
79,SISE,SISE CAM,XU100,XU100,XU100,XU100,XU100
80,HALKB,T. HALK BANKASI,XU100,XU100,XU100,XU100,XU100
81,TSKB,T.S.K.B.,XU100,XU100,XU100,XU100,XU100
82,TATGD,TAT GIDA,XU100,XU100,XU100,,
83,TAVHL,TAV HAVALIMANLARI,XU100,XU100,XU100,XU100,XU100
84,TKFEN,TEKFEN HOLDING,XU100,XU100,XU100,XU100,XU100
85,TOASO,TOFAS OTO. FAB.,XU100,XU100,XU100,XU100,XU100
86,TRGYO,TORUNLAR GMYO,XU100,XU100,XU100,XU100,XU100
87,TCELL,TURKCELL,XU100,XU100,XU100,XU100,XU100
88,TUPRS,TUPRAS,XU100,XU100,XU100,XU100,XU100
89,THYAO,TURK HAVA YOLLARI,XU100,XU100,XU100,XU100,XU100
90,TTKOM,TURK TELEKOM,XU100,XU100,XU100,XU100,XU100
91,TTRAK,TURK TRAKTOR,XU100,XU100,XU100,XU100,XU100
92,TURSG,TURKIYE SIGORTA,XU100,XU100,XU100,XU100,XU100
93,ULKER,ULKER BISKUVI,XU100,XU100,XU100,XU100,XU100
94,VAKBN,VAKIFLAR BANKASI,XU100,XU100,XU100,XU100,XU100
95,VERUS,VERUSA HOLDING,XU100,XU100,XU100,XU100,XU100
96,VESTL,VESTEL,XU100,XU100,XU100,XU100,XU100
97,YKBNK,YAPI VE KREDI BANK.,XU100,XU100,XU100,XU100,XU100
98,YATAS,YATAS,XU100,XU100,XU100,,XU100
99,ZOREN,ZORLU ENERJI,XU100,XU100,XU100,XU100,XU100
100,CEMAS,CEMAS DOKUM,,XU100,XU100,XU100,
101,ESEN,ESENBOGA ELEKTRIK,,XU100,XU100,XU100,XU100
102,FENER,FENERBAHCE FUTBOL,,XU100,XU100,XU100,
103,IHLAS,IHLAS HOLDING,,XU100,XU100,XU100,
104,JANTS,JANTSA JANT SANAYI,,XU100,XU100,XU100,
105,KRVGD,KERVAN GIDA,,XU100,XU100,XU100,XU100
106,NUHCM,NUH CIMENTO,,XU100,XU100,XU100,
107,PARSN,PARSAN,,XU100,XU100,XU100,XU100
108,POLHO,POLISAN HOLDING,,XU100,XU100,,
109,TKNSA,TEKNOSA IC VE DIS TICARET,,XU100,XU100,XU100,XU100
110,TUKAS,TUKAS,,XU100,XU100,,
111,ECZYT,ECZACIBASI YATIRIM,,,XU100,XU100,
112,AFYON,AFYON CIMENTO,,,,XU100,
113,BRYAT,BORUSAN YAT. PAZ.,,,,XU100,
114,ERBOS,ERBOSAN,,,,XU100,XU100
115,GSRAY,GALATASARAY SPORTIF,,,,XU100,
116,GLYHO,GLOBAL YAT. HOLDING,,,,XU100,XU100
117,HDFGS,HEDEF GIRISIM,,,,XU100,
118,RTALB,RTA LABORATUVARLARI,,,,XU100,
119,VESBE,VESTEL BEYAZ ESYA,,,,XU100,XU100
120,ARDYZ,ARD BILISIM TEKNOLOJILERI,,,,,XU100
121,AYDEM,AYDEM ENERJI,,,,,XU100
122,BIOEN,BIOTREND CEVRE VE ENERJI,,,,,XU100
123,CANTE,CAN2 TERMIK,,,,,XU100
124,QUAGR,QUA GRANITE HAYAL YAPI,,,,,XU100
125,IZMDC,IZMIR DEMIR CELIK,,,,,XU100
126,SARKY,SARKUYSAN,,,,,XU100
127,TRILC,TURK ILAC SERUM,,,,,XU100
128,TMSN,TUMOSAN MOTOR VE TRAKTOR,,,,,XU100
129,ZRGYO,ZIRAAT GMYO,,,,,XU100
