,pay kodu,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek
0,ADESE,ADESE ALISVERIS TICARET,XU100,,,
1,AEFES,ANADOLU EFES,XU100,XU100,XU100,XU100
2,AGHOL,ANADOLU GRUBU HOLDING,XU100,XU100,XU100,XU100
3,AKBNK,AKBANK,XU100,XU100,XU100,XU100
4,AKSA,AKSA,XU100,XU100,XU100,XU100
5,AKSEN,AKSA ENERJI,XU100,XU100,XU100,XU100
6,ALARK,ALARKO HOLDING,XU100,XU100,XU100,XU100
7,ALGYO,ALARKO GMYO,XU100,XU100,XU100,XU100
8,ALKIM,ALKIM KIMYA,XU100,XU100,XU100,XU100
9,ARCLK,ARCELIK,XU100,XU100,XU100,XU100
10,ARDYZ,ARD BILISIM TEKNOLOJILERI,XU100,XU100,XU100,
11,ASELS,ASELSAN,XU100,XU100,XU100,XU100
12,AYDEM,AYDEM ENERJI,XU100,XU100,XU100,XU100
13,BASGZ,BASKENT DOGALGAZ GMYO,XU100,XU100,XU100,XU100
14,BERA,BERA HOLDING,XU100,XU100,XU100,XU100
15,BIMAS,BIM MAGAZALAR,XU100,XU100,XU100,XU100
16,BIOEN,BIOTREND CEVRE VE ENERJI,XU100,XU100,,
17,BRISA,BRISA,XU100,XU100,,
18,BRYAT,BORUSAN YAT. PAZ.,XU100,XU100,XU100,XU100
19,CANTE,CAN2 TERMIK,XU100,XU100,,
20,CCOLA,COCA COLA ICECEK,XU100,XU100,XU100,XU100
21,CEMAS,CEMAS DOKUM,XU100,,,
22,CIMSA,CIMSA,XU100,XU100,XU100,XU100
23,DEVA,DEVA HOLDING,XU100,XU100,XU100,XU100
24,DOAS,DOGUS OTOMOTIV,XU100,XU100,XU100,XU100
25,DOHOL,DOGAN HOLDING,XU100,XU100,XU100,XU100
26,ECILC,ECZACIBASI ILAC,XU100,XU100,XU100,XU100
27,EGEEN,EGE ENDUSTRI,XU100,XU100,XU100,XU100
28,EKGYO,EMLAK KONUT GMYO,XU100,XU100,XU100,XU100
29,ENJSA,ENERJISA ENERJI,XU100,XU100,XU100,XU100
30,ENKAI,ENKA INSAAT,XU100,XU100,XU100,XU100
31,ERBOS,ERBOSAN,XU100,XU100,XU100,XU100
32,EREGL,EREGLI DEMIR CELIK,XU100,XU100,XU100,XU100
33,ESEN,ESENBOGA ELEKTRIK,XU100,XU100,,
34,FROTO,FORD OTOSAN,XU100,XU100,XU100,XU100
35,GARAN,GARANTI BANKASI,XU100,XU100,XU100,XU100
36,GENIL,GEN ILAC,XU100,XU100,XU100,XU100
37,GESAN,GIRISIM ELEKTRIK SANAYI,XU100,,,XU100
38,GLYHO,GLOBAL YAT. HOLDING,XU100,XU100,XU100,XU100
39,GOZDE,GOZDE GIRISIM,XU100,XU100,XU100,XU100
40,GUBRF,GUBRE FABRIK.,XU100,XU100,XU100,XU100
41,HALKB,T. HALK BANKASI,XU100,XU100,XU100,XU100
42,HEKTS,HEKTAS,XU100,XU100,XU100,XU100
43,INDES,INDEKS BILGISAYAR,XU100,XU100,XU100,
44,IPEKE,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100
45,ISCTR,IS BANKASI (C),XU100,XU100,XU100,XU100
46,ISDMR,ISKENDERUN DEMIR CELIK,XU100,XU100,XU100,XU100
47,ISFIN,IS FIN.KIR.,XU100,XU100,XU100,XU100
48,ISGYO,IS GMYO,XU100,XU100,XU100,XU100
49,ISMEN,IS Y. MEN. DEG.,XU100,XU100,XU100,XU100
50,IZMDC,IZMIR DEMIR CELIK,XU100,,,
51,KARSN,KARSAN OTOMOTIV,XU100,XU100,XU100,XU100
52,KARTN,KARTONSAN,XU100,XU100,,XU100
53,KCHOL,KOC HOLDING,XU100,XU100,XU100,XU100
54,KERVT,KEREVITAS GIDA,XU100,,,
55,KORDS,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100
56,KOZAA,KOZA MADENCILIK,XU100,XU100,XU100,XU100
57,KOZAL,KOZA ALTIN,XU100,XU100,XU100,XU100
58,KRDMD,KARDEMIR (D),XU100,XU100,XU100,XU100
59,KRVGD,KERVAN GIDA,XU100,,,
60,LOGO,LOGO YAZILIM,XU100,XU100,XU100,XU100
61,MAVI,MAVI GIYIM,XU100,XU100,XU100,XU100
62,MGROS,MIGROS TICARET,XU100,XU100,XU100,XU100
63,NTHOL,NET HOLDING,XU100,XU100,XU100,XU100
64,ODAS,ODAS ELEKTRIK,XU100,XU100,XU100,XU100
65,OTKAR,OTOKAR,XU100,XU100,XU100,XU100
66,OYAKC,OYAK CIMENTO,XU100,XU100,XU100,XU100
67,PARSN,PARSAN,XU100,XU100,XU100,
68,PETKM,PETKIM,XU100,XU100,XU100,XU100
69,PGSUS,PEGASUS,XU100,XU100,XU100,XU100
70,QUAGR,QUA GRANITE HAYAL YAPI,XU100,XU100,XU100,XU100
71,RTALB,RTA LABORATUVARLARI,XU100,,,
72,SAHOL,SABANCI HOLDING,XU100,XU100,XU100,XU100
73,SARKY,SARKUYSAN,XU100,,,
74,SASA,SASA POLYESTER,XU100,XU100,XU100,XU100
75,SELEC,SELCUK ECZA DEPOSU,XU100,XU100,XU100,XU100
76,SISE,SISE CAM,XU100,XU100,XU100,XU100
77,SKBNK,SEKERBANK,XU100,XU100,XU100,XU100
78,SOKM,SOK MARKETLER TICARET,XU100,XU100,XU100,XU100
79,TAVHL,TAV HAVALIMANLARI,XU100,XU100,XU100,XU100
80,TCELL,TURKCELL,XU100,XU100,XU100,XU100
81,THYAO,TURK HAVA YOLLARI,XU100,XU100,XU100,XU100
82,TKFEN,TEKFEN HOLDING,XU100,XU100,XU100,XU100
83,TKNSA,TEKNOSA IC VE DIS TICARET,XU100,XU100,XU100,
84,TOASO,TOFAS OTO. FAB.,XU100,XU100,XU100,XU100
85,TRGYO,TORUNLAR GMYO,XU100,XU100,XU100,XU100
86,TSKB,T.S.K.B.,XU100,XU100,XU100,XU100
87,TTKOM,TURK TELEKOM,XU100,XU100,XU100,XU100
88,TTRAK,TURK TRAKTOR,XU100,XU100,XU100,XU100
89,TUPRS,TUPRAS,XU100,XU100,XU100,XU100
90,TURSG,TURKIYE SIGORTA,XU100,XU100,XU100,XU100
91,ULKER,ULKER BISKUVI,XU100,XU100,XU100,XU100
92,VAKBN,VAKIFLAR BANKASI,XU100,XU100,XU100,XU100
93,VERUS,VERUSA HOLDING,XU100,,,
94,VESBE,VESTEL BEYAZ ESYA,XU100,XU100,XU100,XU100
95,VESTL,VESTEL,XU100,XU100,XU100,XU100
96,YATAS,YATAS,XU100,,XU100,XU100
97,YKBNK,YAPI VE KREDI BANK.,XU100,XU100,XU100,XU100
98,ZOREN,ZORLU ENERJI,XU100,XU100,XU100,
99,ZRGYO,ZIRAAT GMYO,XU100,XU100,XU100,
100,ARASE,DOGU ARAS ENERJI,,XU100,,
101,GSDHO,GSD HOLDING,,XU100,XU100,XU100
102,GWIND,GALATA WIND ENERJI,,XU100,XU100,XU100
103,JANTS,JANTSA JANT SANAYI,,XU100,XU100,XU100
104,KONTR,KONTROLMATIK TEKNOLOJI,,XU100,XU100,XU100
105,KUTPO,KUTAHYA PORSELEN,,XU100,,
106,KZBGY,KIZILBUK GYO,,XU100,,
107,NUGYO,NUROL GMYO,,XU100,XU100,XU100
108,SNGYO,SINPAS GMYO,,XU100,XU100,XU100
109,TRILC,TURK ILAC SERUM,,XU100,XU100,
110,AKFGY,AKFEN GMYO,,,XU100,XU100
111,ALBRK,ALBARAKA TURK,,,XU100,XU100
112,BAGFS,BAGFAS,,,XU100,XU100
113,BUCIM,BURSA CIMENTO,,,XU100,XU100
114,CEMTS,CEMTAS,,,XU100,XU100
115,INVES,INVESTCO HOLDING,,,XU100,
116,PSGYO,PASIFIK GMYO,,,XU100,XU100
117,PRKAB,TURK PRYSMIAN KABLO,,,,XU100
118,SMRTG,SMART GUNES ENERJISI TEK.,,,,XU100
119,TMSN,TUMOSAN MOTOR VE TRAKTOR,,,,XU100
120,TSPOR,TRABZONSPOR SPORTIF,,,,XU100
121,TUKAS,TUKAS,,,,XU100
122,YYLGD,YAYLA GIDA,,,,XU100
