,pay kodu,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
0,AGHOL,ANADOLU GRUBU HOLDING,XU100,XU100,XU100,XU100,XU100
1,AKBNK,AKBANK,XU100,XU100,XU100,XU100,XU100
2,AKSA,AKSA,XU100,XU100,XU100,XU100,XU100
3,AKSEN,AKSA ENERJI,XU100,XU100,XU100,XU100,XU100
4,AKGRT,AKSIGORTA,XU100,XU100,XU100,XU100,XU100
5,ALGYO,ALARKO GMYO,XU100,XU100,XU100,XU100,XU100
6,ALARK,ALARKO HOLDING,XU100,XU100,XU100,XU100,XU100
7,ALBRK,ALBARAKA TURK,XU100,XU100,XU100,XU100,XU100
8,ALKIM,ALKIM KIMYA,XU100,XU100,XU100,XU100,XU100
9,AEFES,ANADOLU EFES,XU100,XU100,XU100,XU100,XU100
10,ANHYT,ANADOLU HAYAT EMEK.,XU100,XU100,XU100,,
11,ARCLK,ARCELIK,XU100,XU100,XU100,XU100,XU100
12,ASELS,ASELSAN,XU100,XU100,XU100,XU100,XU100
13,AYGAZ,AYGAZ,XU100,XU100,XU100,XU100,XU100
14,BTCIM,BATI CIMENTO,XU100,,,,
15,BIMAS,BIM MAGAZALAR,XU100,XU100,XU100,XU100,XU100
16,BIZIM,BIZIM MAGAZALARI,XU100,XU100,XU100,XU100,XU100
17,BRSAN,BORUSAN MANNESMANN,XU100,XU100,XU100,XU100,XU100
18,BRISA,BRISA,XU100,XU100,XU100,XU100,XU100
19,BUCIM,BURSA CIMENTO,XU100,XU100,XU100,XU100,XU100
20,CCOLA,COCA COLA ICECEK,XU100,XU100,XU100,XU100,XU100
21,CLEBI,CELEBI,XU100,XU100,XU100,XU100,XU100
22,CEMTS,CEMTAS,XU100,XU100,XU100,XU100,XU100
23,CIMSA,CIMSA,XU100,XU100,XU100,XU100,XU100
24,DEVA,DEVA HOLDING,XU100,XU100,XU100,XU100,XU100
25,DOHOL,DOGAN HOLDING,XU100,XU100,XU100,XU100,XU100
26,DOAS,DOGUS OTOMOTIV,XU100,XU100,XU100,XU100,XU100
27,ECILC,ECZACIBASI ILAC,XU100,XU100,XU100,XU100,XU100
28,ECZYT,ECZACIBASI YATIRIM,XU100,XU100,XU100,,
29,EGEEN,EGE ENDUSTRI,XU100,XU100,XU100,XU100,XU100
30,EKGYO,EMLAK KONUT GMYO,XU100,XU100,XU100,XU100,XU100
31,ENJSA,ENERJISA ENERJI,XU100,XU100,XU100,XU100,XU100
32,ENKAI,ENKA INSAAT,XU100,XU100,XU100,XU100,XU100
33,ERBOS,ERBOSAN,XU100,,,,
34,EREGL,EREGLI DEMIR CELIK,XU100,XU100,XU100,XU100,XU100
35,FROTO,FORD OTOSAN,XU100,XU100,XU100,XU100,XU100
36,GARAN,GARANTI BANKASI,XU100,XU100,XU100,XU100,XU100
37,GOODY,GOOD-YEAR,XU100,XU100,XU100,XU100,XU100
38,GOZDE,GOZDE GIRISIM,XU100,XU100,XU100,XU100,XU100
39,GSDHO,GSD HOLDING,XU100,,,XU100,XU100
40,GUBRF,GUBRE FABRIK.,XU100,XU100,XU100,XU100,XU100
41,HLGYO,HALK GMYO,XU100,XU100,XU100,XU100,XU100
42,HEKTS,HEKTAS,XU100,XU100,XU100,XU100,XU100
43,INDES,INDEKS BILGISAYAR,XU100,,,,XU100
44,IPEKE,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100,XU100
45,ISCTR,IS BANKASI (C),XU100,XU100,XU100,XU100,XU100
46,ISDMR,ISKENDERUN DEMIR CELIK,XU100,XU100,XU100,XU100,XU100
47,ISFIN,IS FIN.KIR.,XU100,XU100,XU100,XU100,XU100
48,ISGYO,IS GMYO,XU100,XU100,XU100,XU100,XU100
49,ISMEN,IS Y. MEN. DEG.,XU100,XU100,XU100,XU100,XU100
50,KRDMD,KARDEMIR (D),XU100,XU100,XU100,XU100,XU100
51,KAREL,KAREL ELEKTRONIK,XU100,XU100,XU100,XU100,XU100
52,KARSN,KARSAN OTOMOTIV,XU100,XU100,XU100,XU100,
53,KARTN,KARTONSAN,XU100,XU100,XU100,XU100,XU100
54,KERVT,KEREVITAS GIDA,XU100,XU100,XU100,XU100,XU100
55,KLMSN,KLIMASAN KLIMA,XU100,XU100,XU100,XU100,
56,KCHOL,KOC HOLDING,XU100,XU100,XU100,XU100,XU100
57,KORDS,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100,XU100
58,KOZAL,KOZA ALTIN,XU100,XU100,XU100,XU100,XU100
59,KOZAA,KOZA MADENCILIK,XU100,XU100,XU100,XU100,XU100
60,LOGO,LOGO YAZILIM,XU100,XU100,XU100,XU100,XU100
61,MAVI,MAVI GIYIM,XU100,XU100,XU100,XU100,XU100
62,MPARK,MLP SAGLIK,XU100,XU100,XU100,XU100,XU100
63,MGROS,MIGROS TICARET,XU100,XU100,XU100,XU100,XU100
64,NTHOL,NET HOLDING,XU100,XU100,XU100,XU100,XU100
65,NETAS,NETAS TELEKOM.,XU100,XU100,XU100,XU100,XU100
66,ODAS,ODAS ELEKTRIK,XU100,XU100,XU100,XU100,XU100
67,OTKAR,OTOKAR,XU100,XU100,XU100,XU100,XU100
68,PGSUS,PEGASUS,XU100,XU100,XU100,XU100,XU100
69,PETKM,PETKIM,XU100,XU100,XU100,XU100,XU100
70,SAHOL,SABANCI HOLDING,XU100,XU100,XU100,XU100,XU100
71,SASA,SASA POLYESTER,XU100,XU100,XU100,XU100,XU100
72,SOKM,SOK MARKETLER TICARET,XU100,XU100,XU100,XU100,XU100
73,SKBNK,SEKERBANK,XU100,XU100,XU100,XU100,XU100
74,SISE,SISE CAM,XU100,XU100,XU100,XU100,XU100
